block,leaf,field,n_experiments,min_dscore,max_dscore,mean_abs_dscore,max_abs_dscore,status,manual_override,crosscheck_tested,crosscheck_peak_abs_dscore,crosscheck_verdict
CaM,CaMCa3+Ca,Kd,6,0.0,0.064158,0.020769,0.064158,sloppy,,,,
AMPAR_1,synGAP+PSD95,tau,23,-0.020966,0.064603,0.006749,0.064603,well_identified,,,,
Glu_mGluR_1,ePKC+LRG,Km,21,-0.021341,0.065442,0.004944,0.065442,sloppy,,,,
AMPAR_3,Glu+sAMPARpS845S831,Kd,23,-0.036393,0.06587,0.008366,0.06587,well_identified,,,,
CaMKII_1,eCaMKIIp+CaMKIIp,kcat,11,-0.066505,0.00424,0.006597,0.066505,sloppy,,,,
mGluR_PLCb,Trimerize_Gq,Kf,10,-0.06654,0.057282,0.012386,0.06654,well_identified,,,,
TrKs_PLCg,Ca+PLCgp,Kd,14,-0.030005,0.067008,0.011818,0.067008,sloppy,,,,
TrKs_PLCg,eCaPLCgp+PIP2,Km,14,-0.0,0.067296,0.00945,0.067296,sloppy,,,,
TrKs_PLCg,eCaPLCgp+PIP2,kcat,14,-0.0,0.067826,0.009534,0.067826,sloppy,,,,
DHPG_mGluR_2,DHPGGq_act,Kf,5,-0.071806,0.01415,0.01728,0.071806,sloppy,,,,
AC_1,Gs+AC2,Kd,15,-0.047055,0.072664,0.023467,0.072664,well_identified,,,,
Glu_mGluR_3,Glu+mGluR_Gq,Kd,21,-0.010887,0.073087,0.008613,0.073087,well_identified,,,,
AC_3,Epi_act_Gs,Kf,15,-0.073339,0.041685,0.007668,0.073339,well_identified,,,,
Receptors_AKT,ePI3K+AKT,Km,25,-0.07358,0.043809,0.01995,0.07358,sloppy,,,,
TrKs_PLCg,eCaPLCg+PIP2,Km,14,-0.073595,0.0,0.010577,0.073595,sloppy,,,,
AMPAR_3,to_memb_1,Kd,23,-0.074984,0.020732,0.011576,0.074984,well_identified,,,,
Receptors_MAPK_1,eAKT+Raf,kcat,45,-0.075645,0.03439,0.011723,0.075645,well_identified,,,,
TrKs_PLCg,eCaPLCg+PIP2,kcat,14,-0.075906,0.0,0.0112,0.075906,sloppy,,,,
Receptors_Ras_1,ePKC+GEF,kcat,9,-0.004363,0.076037,0.020689,0.076037,sloppy,,,,
CaMKII_1,eCaMKIIp+CaMKIIp,Km,11,-0.076522,0.000838,0.007113,0.076522,sloppy,,,,
